Name,Rank
Winnipeg Jets,1
Washington Capitals,2
Minnesota Wild,3
Vegas Golden Knights,4
New Jersey Devils,5
Toronto Maple Leafs,6
Florida Panthers,7
Carolina Hurricanes,8
Los Angeles Kings,9
Edmonton Oilers,10
Vancouver Canucks,11
Dallas Stars,12
Colorado Avalanche,13
Calgary Flames,14
Boston Bruins,15
Tampa Bay Lightning,16
Philadelphia Flyers,17
Seattle Kraken,18
New York Rangers,19
Utah Hockey Club,20
New York Islanders,21
Ottawa Senators,22
St. Louis Blues,23
Pittsburgh Penguins,24
Columbus Blue Jackets,25
San Jose Sharks,26
Detroit Red Wings,27
Buffalo Sabres,28
Montreal Canadiens,29
Anaheim Ducks,30
Nashville Predators,31
Chicago Blackhawks,32
